Name,Header,Price_Per_Night,Superhost,Rating,Review,Rooms_info,Link
Stylish High Rise Studio with Skyline Bangi Views,Apartment in Bandar Baru Bangi,RM114 ,Superhost,4.84 (92),92 reviews,2 guests Studio 1 bed 1 bath,https://www.airbnb.com/rooms/37336488?adults=1&children=0&infants=0&pets=0&check_in=2023-02-07&check_out=2023-02-12&previous_page_section_name=1000
Rumah Hitam Puteh + Private Swimming Pool,Home in Kajang,"RM1,232 ",Superhost,5.0 (25),25 reviews,16+ guests 5 bedrooms 8 beds 4 baths,https://www.airbnb.com/rooms/736047150949594944?adults=1&children=0&infants=0&pets=0&check_in=2023-02-13&check_out=2023-02-18&previous_page_section_name=1000
Spacious 1 bedroom @ Nearby KLCC,Apartment in Kuala Lumpur,RM124 ,n/a,,n/a,4 guests 1 bedroom 1 bed 1 bath,https://www.airbnb.com/rooms/739554405064536200?adults=1&children=0&infants=0&pets=0&check_in=2023-02-05&check_out=2023-02-10&previous_page_section_name=1000
Landmark 2.2: Queen size bed; Netflix & Parking,Condo in Kajang,RM99,Superhost,4.78 (59),59 reviews,2 guests Studio 1 bed 1 bath,https://www.airbnb.com/rooms/50039590?adults=1&children=0&infants=0&pets=0&check_in=2023-02-04&check_out=2023-02-10&previous_page_section_name=1000
1- Selesa Home A13-16 | The Hyve Cyberjaya,Condo in Cyberjaya,RM126 ,n/a,4.71 (93),93 reviews,2 guests 1 bedroom 1 bed 1 bath,https://www.airbnb.com/rooms/22542983?adults=1&children=0&infants=0&pets=0&check_in=2023-02-04&check_out=2023-02-09&previous_page_section_name=1000
Rest. Pause. Rainforest Retreat,Villa in Bentong,"RM1,186",Superhost,4.88 (272),272 reviews,16+ guests 4 bedrooms 7 beds 4 baths,https://www.airbnb.com/rooms/9437423?adults=1&children=0&infants=0&pets=0&check_in=2023-02-06&check_out=2023-02-11&previous_page_section_name=1000
"Simfoni 19: Big balcony nice view, WIFI, parking",Condo in Balakong,RM124 ,Superhost,4.88 (78),78 reviews,2 guests Studio 1 bed 1 bath,https://www.airbnb.com/rooms/51513059?adults=1&children=0&infants=0&pets=0&check_in=2023-02-04&check_out=2023-02-09&previous_page_section_name=1000
#HSRL S&THomez盛婷民宿 Horizon Suite WiFi&NetFlix KLIA,Apartment in Sepang,RM117 ,n/a,New,n/a,2 guests 1 bedroom 1 bed 1 bath,https://www.airbnb.com/rooms/813408376219094263?adults=1&children=0&infants=0&pets=0&check_in=2023-02-04&check_out=2023-02-10&previous_page_section_name=1000
"Homestay Residensi Aman
Casa De' Aman 7-13",Condo in Semenyih,RM194 ,n/a,4.6 (5),5 reviews,6 guests 3 bedrooms 3 beds 2 baths,https://www.airbnb.com/rooms/710062463829967389?adults=1&children=0&infants=0&pets=0&check_in=2023-02-03&check_out=2023-02-08&previous_page_section_name=1000
High Floor @ Evo Bangi FREE Parking/ Pool/ Netflix,Apartment in Bandar Baru Bangi,RM118 ,Superhost,5.0 (6),6 reviews,2 guests Studio 1 bed 1 bath,https://www.airbnb.com/rooms/803798055384792179?adults=1&children=0&infants=0&pets=0&check_in=2023-02-04&check_out=2023-02-10&previous_page_section_name=1000
Laman Jubilee DBayu,Villa in Mantin,RM971 ,n/a,4.33 (6),6 reviews,16+ guests 4 bedrooms 6 beds 2 baths,https://www.airbnb.com/rooms/680363121603139195?adults=1&children=0&infants=0&pets=0&check_in=2023-02-12&check_out=2023-02-17&previous_page_section_name=1000
Spacious 1 bedroom @ Nearby KLCC,Apartment in Kuala Lumpur,RM124 ,n/a,,n/a,4 guests 1 bedroom 1 bed 1 bath,https://www.airbnb.com/rooms/739554405064536200?adults=1&children=0&infants=0&pets=0&check_in=2023-02-05&check_out=2023-02-10&previous_page_section_name=1000
Spacious Duplex 768sf Unblocked/Swimming Pool View,Apartment in Kajang,RM121 ,n/a,New,n/a,3 guests Studio 2 beds 2 baths,https://www.airbnb.com/rooms/802621095355647714?adults=1&children=0&infants=0&pets=0&check_in=2023-02-03&check_out=2023-02-09&previous_page_section_name=1000
BROGA BLISS ECO GARDEN - Crystal Private Unit,Cottage in Broga,"RM1,917",n/a,4.57 (14),14 reviews,16+ guests 4 bedrooms 20 beds 6 baths,https://www.airbnb.com/rooms/35186116?adults=1&children=0&infants=0&pets=0&check_in=2023-02-06&check_out=2023-02-13&previous_page_section_name=1000
#6Menara Simfoni@Balakong*STUDIO*Netflix*Aeon/C180,Condo in Cheras,RM115 ,Superhost,4.87 (100),100 reviews,3 guests Studio 1 bed 1 bath,https://www.airbnb.com/rooms/45617864?adults=1&children=0&infants=0&pets=0&check_in=2023-02-08&check_out=2023-02-15&previous_page_section_name=1000
Boutique Style Single Room2️⃣~20 Minutes to KL City!,Private room in Petaling Jaya,RM64 ,Superhost,4.2 (5),5 reviews,1 guest 1 bedroom 1 bed 2 shared baths,https://www.airbnb.com/rooms/597651545473615930?adults=1&children=0&infants=0&pets=0&check_in=2023-02-06&check_out=2023-02-12&previous_page_section_name=1000
PJ13 100MbpsSweetStay3Pax ByHapyhome@PJCentrestage,Apartment in Petaling Jaya,RM101,n/a,New,n/a,3 guests 1 bedroom 3 beds 1 bath,https://www.airbnb.com/rooms/814608408909045958?adults=1&children=0&infants=0&pets=0&check_in=2023-03-03&check_out=2023-03-08&previous_page_section_name=1000
Weekly offer 1BR/Fully Furnished @Arte Mont Kiara,Apartment in Kuala Lumpur,RM136,n/a,New,n/a,2 guests 1 bedroom 1 bed 1 bath,https://www.airbnb.com/rooms/805977669946054535?adults=1&children=0&infants=0&pets=0&check_in=2023-02-05&check_out=2023-02-12&previous_page_section_name=1000
Janda Baik 100 year old Refurbished Wooden Villa,Villa in Bentong,RM325 ,n/a,4.65 (104),104 reviews,4 guests Studio 1 bed 1 bath,https://www.airbnb.com/rooms/33859662?adults=1&children=0&infants=0&pets=0&check_in=2023-02-12&check_out=2023-02-17&previous_page_section_name=1000
One bedroom apartment 25minutes to KLIA.,Apartment in Cyberjaya,RM111,n/a,4.0 (3),3 reviews,2 guests 1 bedroom 1 bed 1 bath,https://www.airbnb.com/rooms/740124613857000375?adults=1&children=0&infants=0&pets=0&check_in=2023-02-03&check_out=2023-02-08&previous_page_section_name=1000
Home Sweet Home 2607 Windmill Genting [FREE WIFI],Condo in Genting Highlands,RM155 ,n/a,4.59 (82),82 reviews,7 guests 2 bedrooms 2 beds 2 baths,https://www.airbnb.com/rooms/40670153?adults=1&children=0&infants=0&pets=0&check_in=2023-02-03&check_out=2023-02-08&previous_page_section_name=1000
SR Studio @ EVO SOHO 😍 TV WiFi NETFLIX,Apartment in Bandar Baru Bangi,RM122 ,n/a,4.51 (67),67 reviews,2 guests Studio 1 bed 1 bath,https://www.airbnb.com/rooms/50785484?adults=1&children=0&infants=0&pets=0&check_in=2023-02-03&check_out=2023-02-09&previous_page_section_name=1000
"#De 'Safari Homestay @Tiara Imperio, Bangi",Apartment in Kajang,RM104 ,Superhost,4.84 (106),106 reviews,4 guests Studio 4 beds 1 bath,https://www.airbnb.com/rooms/43875118?adults=1&children=0&infants=0&pets=0&check_in=2023-02-03&check_out=2023-02-09&previous_page_section_name=1000
"Windmill 2BR, Free Wifi+Parking, 5min to GPO",Condo in Genting Highlands,RM161,n/a,4.86 (65),65 reviews,6 guests 2 bedrooms 2 beds 2 baths,https://www.airbnb.com/rooms/632899736415860081?adults=1&children=0&infants=0&pets=0&check_in=2023-02-03&check_out=2023-02-08&previous_page_section_name=1000
Modern Living @ Luxe KL Studio Suite l 2-4 pax,Apartment in Kuala Lumpur,RM136 ,n/a,4.46 (13),13 reviews,4 guests 1 bedroom 1 bed 1 bath,https://www.airbnb.com/rooms/719968812510150240?adults=1&children=0&infants=0&pets=0&check_in=2023-02-06&check_out=2023-02-11&previous_page_section_name=1000
1#Menara Simfoni@Balakong*STUDIO*Aeon*D Mines/C180,Condo in Cheras,RM102 ,Superhost,4.82 (173),173 reviews,3 guests Studio 1 bed 1 bath,https://www.airbnb.com/rooms/42290853?adults=1&children=0&infants=0&pets=0&check_in=2023-02-05&check_out=2023-02-10&previous_page_section_name=1000
Cozy 1BR Suites 10mins walk to KLCC w Netflix,Apartment in Kuala Lumpur,RM221,Superhost,New,n/a,4 guests 1 bedroom 2 beds 1 bath,https://www.airbnb.com/rooms/817097555231940103?adults=1&children=0&infants=0&pets=0&check_in=2023-02-15&check_out=2023-02-21&previous_page_section_name=1000
A Apartment Conezion Residence Putrajaya,Condo in Putrajaya,RM200 ,n/a,4.66 (32),32 reviews,4 guests 2 bedrooms 2 beds 2 baths,https://www.airbnb.com/rooms/639370781968802116?adults=1&children=0&infants=0&pets=0&check_in=2023-02-03&check_out=2023-02-08&previous_page_section_name=1000
Naurah Homestay,Apartment in Semenyih,RM206 ,n/a,4.33 (6),6 reviews,6 guests 3 bedrooms 4 beds 2 baths,https://www.airbnb.com/rooms/678663418664802085?adults=1&children=0&infants=0&pets=0&check_in=2023-02-03&check_out=2023-02-10&previous_page_section_name=1000
Duplex Cyber View,Apartment in Cyberjaya,RM129 ,Superhost,New,n/a,4 guests 1 bedroom 1 bed 1 bath,https://www.airbnb.com/rooms/764803392162932690?adults=1&children=0&infants=0&pets=0&check_in=2023-02-19&check_out=2023-02-25&previous_page_section_name=1000
NOURI VILLA | A Tale of Two Rivers,Villa in Hulu Langat,"RM2,995 ",Superhost,4.8 (324),324 reviews,16+ guests 7 bedrooms 8 beds 8 baths,https://www.airbnb.com/rooms/24212397?adults=1&children=0&infants=0&pets=0&check_in=2023-02-12&check_out=2023-02-17&previous_page_section_name=1000
"Simfoni 9: Free parking, Wi-Fi",Condo in Cheras,RM117 ,Superhost,4.78 (55),55 reviews,2 guests Studio 1 bed 1.5 baths,https://www.airbnb.com/rooms/41970224?adults=1&children=0&infants=0&pets=0&check_in=2023-02-03&check_out=2023-02-09&previous_page_section_name=1000
The Colony Deluxe Studio Suite_ KLCC view Pool,Apartment in Kuala Lumpur,RM116,n/a,New,n/a,3 guests Studio 1 bed 1 bath,https://www.airbnb.com/rooms/807731735829549325?adults=1&children=0&infants=0&pets=0&check_in=2023-03-16&check_out=2023-03-21&previous_page_section_name=1000
"5.KL City, Netflix, Fully Furnished, 5km to KLCC",Apartment in Ampang Jaya,RM122,n/a,New,n/a,2 guests 1 bedroom 1 bed 1 bath,https://www.airbnb.com/rooms/811978113443626974?adults=1&children=0&infants=0&pets=0&check_in=2023-02-03&check_out=2023-02-08&previous_page_section_name=1000
Equine Residence 2703 @Tmn Seri Kembangan KL,Apartment in Seri Kembangan,RM141 ,Superhost,4.86 (7),7 reviews,3 guests Studio 2 beds 1 bath,https://www.airbnb.com/rooms/684685552718907526?adults=1&children=0&infants=0&pets=0&check_in=2023-02-03&check_out=2023-02-09&previous_page_section_name=1000
"View block, at hotel and Resort Port Dickson",Apartment in Port Dickson,RM97,n/a,4.38 (154),154 reviews,2 guests 1 bedroom 2 beds 1.5 baths,https://www.airbnb.com/rooms/21320346?adults=1&children=0&infants=0&pets=0&check_in=2023-02-03&check_out=2023-02-10&previous_page_section_name=1000
1BR Couple Room Genting View Free Car Park,Apartment in Genting Highlands,RM181,n/a,4.76 (17),17 reviews,4 guests 1 bedroom 1 bed 1 bath,https://www.airbnb.com/rooms/747667096713415483?adults=1&children=0&infants=0&pets=0&check_in=2023-02-05&check_out=2023-02-11&previous_page_section_name=1000
Level 16 Modern Classic Studio Room | Free Netflix,Condo in Kuala Lumpur,RM170 ,Superhost,New,n/a,2 guests 1 bedroom 1 bed 1 bath,https://www.airbnb.com/rooms/781699961081816031?adults=1&children=0&infants=0&pets=0&check_in=2023-02-07&check_out=2023-02-12&previous_page_section_name=1000
"#Scenic Studio, 7mins walk to KLCC+WI-FI, Netflix",Apartment in Kuala Lumpur,RM176 ,n/a,4.88 (8),8 reviews,2 guests Studio 1 bed 1 bath,https://www.airbnb.com/rooms/737318605826932565?adults=1&children=0&infants=0&pets=0&check_in=2023-02-03&check_out=2023-02-08&previous_page_section_name=1000
"2BR Windmill, Free Wi-Fi and Parking, Big balcony",Condo in Genting Highlands,RM157,n/a,4.69 (36),36 reviews,4 guests 2 bedrooms 2 beds 1 bath,https://www.airbnb.com/rooms/679919430182205834?adults=1&children=0&infants=0&pets=0&check_in=2023-02-03&check_out=2023-02-09&previous_page_section_name=1000
NEW! NEW! A’Famosa resort Newly Renovated Villa!,Home in Alor Gajah,RM785,n/a,5.0 (3),3 reviews,16+ guests 4 bedrooms 10 beds 2 baths,https://www.airbnb.com/rooms/784818801803556383?adults=1&children=0&infants=0&pets=0&check_in=2023-02-03&check_out=2023-02-08&previous_page_section_name=1000
"View block, at hotel and Resort Port Dickson",Apartment in Port Dickson,RM97,n/a,4.38 (154),154 reviews,2 guests 1 bedroom 2 beds 1.5 baths,https://www.airbnb.com/rooms/21320346?adults=1&children=0&infants=0&pets=0&check_in=2023-02-03&check_out=2023-02-10&previous_page_section_name=1000
KLCC view Spacious Suites @ Ampang #AT235C,Apartment in Kuala Lumpur,RM190 ,n/a,New,n/a,6 guests 3 bedrooms 3 beds 2 baths,https://www.airbnb.com/rooms/817102732153711978?adults=1&children=0&infants=0&pets=0&check_in=2023-02-13&check_out=2023-02-18&previous_page_section_name=1000
10min to KLCC Spacious Suites @ Ampang #AT211,Apartment in Kuala Lumpur,RM221 ,n/a,New,n/a,6 guests 3 bedrooms 3 beds 2 baths,https://www.airbnb.com/rooms/817118040656069807?adults=1&children=0&infants=0&pets=0&check_in=2023-02-06&check_out=2023-02-12&previous_page_section_name=1000
NEW*2 Pax Studio Wifi NO carpark Refurbished unit,Apartment in Nilai,RM64 ,Superhost,4.82 (84),84 reviews,2 guests 1 bedroom 1 bed 1 bath,https://www.airbnb.com/rooms/37904196?adults=1&children=0&infants=0&pets=0&check_in=2023-02-05&check_out=2023-02-10&previous_page_section_name=1000
Teratak Sarah,Chalet in Telok Panglima Garang,RM549 ,Superhost,4.84 (83),83 reviews,10 guests 2 bedrooms 3 beds 2 baths,https://www.airbnb.com/rooms/36814064?adults=1&children=0&infants=0&pets=0&check_in=2023-03-21&check_out=2023-03-26&previous_page_section_name=1000
The Premium House- The Heart Of Sunway,Home in Petaling Jaya,RM801 ,Superhost,New,n/a,12 guests 4 bedrooms 5 beds 3 baths,https://www.airbnb.com/rooms/817353053021607323?adults=1&children=0&infants=0&pets=0&check_in=2023-02-06&check_out=2023-02-11&previous_page_section_name=1000
Timurahaus,Home in Kajang,RM405 ,n/a,5.0 (3),3 reviews,8 guests 4 bedrooms 3 beds 4.5 baths,https://www.airbnb.com/rooms/750513582156352051?adults=1&children=0&infants=0&pets=0&check_in=2023-02-03&check_out=2023-02-09&previous_page_section_name=1000
10-14Pax Port Dickson 4BR Double Storey House,Vacation home in Port Dickson,RM719 ,n/a,4.8 (10),10 reviews,14 guests 4 bedrooms 7 beds 4 baths,https://www.airbnb.com/rooms/730702447434527215?adults=1&children=0&infants=0&pets=0&check_in=2023-02-18&check_out=2023-02-23&previous_page_section_name=1000
Bendang Homes-Sekinchan Homestay,Home in Sekinchan,RM251 ,n/a,New,n/a,4 guests 2 bedrooms 2 beds 1 bath,https://www.airbnb.com/rooms/788811743635586036?adults=1&children=0&infants=0&pets=0&check_in=2023-02-25&check_out=2023-03-04&previous_page_section_name=1000
DCeria Andorra-Maeps-Putrajaya,Home in Seri Kembangan,RM475,n/a,New,n/a,10 guests 4 bedrooms 5 beds 3 baths,https://www.airbnb.com/rooms/817631755161523321?adults=1&children=0&infants=0&pets=0&check_in=2023-02-05&check_out=2023-02-11&previous_page_section_name=1000
Aisyah's Inn de Balcon,Apartment in Kajang,RM212 ,n/a,New,n/a,6 guests 3 bedrooms 3 beds 3 baths,https://www.airbnb.com/rooms/817281128221785968?adults=1&children=0&infants=0&pets=0&check_in=2023-02-03&check_out=2023-02-09&previous_page_section_name=1000
Dua Sentral S20 Premium Former Best Western,Apartment in Kuala Lumpur,RM127,Superhost,New,n/a,4 guests 1 bedroom 2 beds 1 bath,https://www.airbnb.com/rooms/816787373688928886?adults=1&children=0&infants=0&pets=0&check_in=2023-02-28&check_out=2023-03-06&previous_page_section_name=1000
"EkoCheras, #DuplexStudio#Cozy#Comfy#Netflix#U-tube",Loft in Kuala Lumpur,RM141 ,Superhost,5.0 (4),4 reviews,3 guests 1 bedroom 1 bed 1 bath,https://www.airbnb.com/rooms/751428381619338655?adults=1&children=0&infants=0&pets=0&check_in=2023-02-04&check_out=2023-02-09&previous_page_section_name=1000
Duplex Cyber View,Apartment in Cyberjaya,RM129 ,Superhost,New,n/a,4 guests 1 bedroom 1 bed 1 bath,https://www.airbnb.com/rooms/764803392162932690?adults=1&children=0&infants=0&pets=0&check_in=2023-02-19&check_out=2023-02-25&previous_page_section_name=1000
*GIN* Lovely 2 br condo with pool 50'TV FreNetflix,Condo in Nilai,RM110 ,Superhost,5.0 (5),5 reviews,4 guests 2 bedrooms 3 beds 2 baths,https://www.airbnb.com/rooms/609985703203306177?adults=1&children=0&infants=0&pets=0&check_in=2023-02-05&check_out=2023-02-10&previous_page_section_name=1000
"Pulaithree retreat, Kuala Kubu Bharu Heights",Cottage in Kuala Kubu Baru,"RM1,118 ",n/a,4.77 (192),192 reviews,7 guests 2 bedrooms 6 beds 2 baths,https://www.airbnb.com/rooms/38299410?adults=1&children=0&infants=0&pets=0&check_in=2023-02-12&check_out=2023-02-17&previous_page_section_name=1000
HorizonSuites@Glorybnb #KLIA Netflix Cozy Designer,Apartment in Sepang,RM93 ,Superhost,4.89 (9),9 reviews,2 guests 1 bedroom 1 bed 1.5 baths,https://www.airbnb.com/rooms/754231365317112645?adults=1&children=0&infants=0&pets=0&check_in=2023-02-04&check_out=2023-02-10&previous_page_section_name=1000
Dua Sentral S20 Premium Former Best Western,Apartment in Kuala Lumpur,RM127,Superhost,New,n/a,4 guests 1 bedroom 2 beds 1 bath,https://www.airbnb.com/rooms/816787373688928886?adults=1&children=0&infants=0&pets=0&check_in=2023-02-28&check_out=2023-03-06&previous_page_section_name=1000
"EkoCheras, #DuplexStudio#Cozy#Comfy#Netflix#U-tube",Loft in Kuala Lumpur,RM141 ,Superhost,5.0 (4),4 reviews,3 guests 1 bedroom 1 bed 1 bath,https://www.airbnb.com/rooms/751428381619338655?adults=1&children=0&infants=0&pets=0&check_in=2023-02-04&check_out=2023-02-09&previous_page_section_name=1000
Duplex Cyber View,Apartment in Cyberjaya,RM129 ,Superhost,New,n/a,4 guests 1 bedroom 1 bed 1 bath,https://www.airbnb.com/rooms/764803392162932690?adults=1&children=0&infants=0&pets=0&check_in=2023-02-19&check_out=2023-02-25&previous_page_section_name=1000
*GIN* Lovely 2 br condo with pool 50'TV FreNetflix,Condo in Nilai,RM110 ,Superhost,5.0 (5),5 reviews,4 guests 2 bedrooms 3 beds 2 baths,https://www.airbnb.com/rooms/609985703203306177?adults=1&children=0&infants=0&pets=0&check_in=2023-02-05&check_out=2023-02-10&previous_page_section_name=1000
"Pulaithree retreat, Kuala Kubu Bharu Heights",Cottage in Kuala Kubu Baru,"RM1,118 ",n/a,4.77 (192),192 reviews,7 guests 2 bedrooms 6 beds 2 baths,https://www.airbnb.com/rooms/38299410?adults=1&children=0&infants=0&pets=0&check_in=2023-02-12&check_out=2023-02-17&previous_page_section_name=1000
The Colony Deluxe Studio Suite_ KLCC view Pool,Apartment in Kuala Lumpur,RM116,n/a,New,n/a,3 guests Studio 1 bed 1 bath,https://www.airbnb.com/rooms/807731735829549325?adults=1&children=0&infants=0&pets=0&check_in=2023-03-16&check_out=2023-03-21&previous_page_section_name=1000
[REX] 2px mesamall free parking TV netflix WIFI,Condo in Nilai,RM88 ,Superhost,4.33 (3),3 reviews,2 guests 1 bedroom 1 bed 1 bath,https://www.airbnb.com/rooms/750665510406804347?adults=1&children=0&infants=0&pets=0&check_in=2023-02-12&check_out=2023-02-19&previous_page_section_name=1000
Landmark Residence Studio,Condo in Kajang,RM116 ,n/a,4.75 (4),4 reviews,2 guests Studio 1 bed 1 bath,https://www.airbnb.com/rooms/29187730?adults=1&children=0&infants=0&pets=0&check_in=2023-02-06&check_out=2023-02-11&previous_page_section_name=1000
Port Dickson Holiday Home with Stunning Sea-View,Home in Port Dickson,RM442 ,Superhost,4.65 (139),139 reviews,5 guests 2 bedrooms 3 beds 1.5 baths,https://www.airbnb.com/rooms/16521907?adults=1&children=0&infants=0&pets=0&check_in=2023-02-17&check_out=2023-02-22&previous_page_section_name=1000
Nicely 2BR Suite @ Arte Plus Ampang,Apartment in Kuala Lumpur,RM163 ,n/a,New,n/a,12 guests 2 bedrooms 2 beds 2 baths,https://www.airbnb.com/rooms/817099288634163923?adults=1&children=0&infants=0&pets=0&check_in=2023-02-04&check_out=2023-02-09&previous_page_section_name=1000
*GIN [OFFER] 2Bedroom Nilai 50’TV Netflix WIFI 4px,Condo in Nilai,RM110 ,Superhost,4.82 (71),71 reviews,4 guests 2 bedrooms 3 beds 2 baths,https://www.airbnb.com/rooms/47725627?adults=1&children=0&infants=0&pets=0&check_in=2023-02-05&check_out=2023-02-10&previous_page_section_name=1000
"Simfoni 19: Big balcony nice view, WIFI, parking",Condo in Balakong,RM124 ,Superhost,4.88 (78),78 reviews,2 guests Studio 1 bed 1 bath,https://www.airbnb.com/rooms/51513059?adults=1&children=0&infants=0&pets=0&check_in=2023-02-04&check_out=2023-02-09&previous_page_section_name=1000
V5 Garden Home Pool Villa at A'Famosa,Villa in Alor Gajah,RM773 ,n/a,5.0 (6),6 reviews,15 guests 4 bedrooms 9 beds 2 baths,https://www.airbnb.com/rooms/725717506192711415?adults=1&children=0&infants=0&pets=0&check_in=2023-02-12&check_out=2023-02-18&previous_page_section_name=1000
Revo@Aurora Place Bukit Jalil,Apartment in Kuala Lumpur,RM114,n/a,New,n/a,2 guests 1 bedroom 1 bed 1 bath,https://www.airbnb.com/rooms/806306819903491924?adults=1&children=0&infants=0&pets=0&check_in=2023-02-05&check_out=2023-02-10&previous_page_section_name=1000
Sekinchan 231 Village A Chalet,Chalet in Sekinchan,RM285 ,Superhost,4.56 (32),32 reviews,4 guests Studio 4 beds 1 bath,https://www.airbnb.com/rooms/4167538?adults=1&children=0&infants=0&pets=0&check_in=2023-02-04&check_out=2023-02-09&previous_page_section_name=1000
A20 Studio @ EVO SOHO [WIFI NETFLIX] BANGI,Condo in Bandar Baru Bangi,RM131 ,n/a,4.55 (75),75 reviews,2 guests 1 bedroom 1 bed 1 bath,https://www.airbnb.com/rooms/54224858?adults=1&children=0&infants=0&pets=0&check_in=2023-02-03&check_out=2023-02-09&previous_page_section_name=1000
3 bedroom apartment with pool & gym & playground,Vacation home in Dengkil,RM137,n/a,New,n/a,5 guests 3 bedrooms 3 beds 2 baths,https://www.airbnb.com/rooms/817809630577663733?adults=1&children=0&infants=0&pets=0&check_in=2023-02-05&check_out=2023-02-10&previous_page_section_name=1000
2 Bedroom Corner KL View Unit,Apartment in Kuala Lumpur,RM153 ,Superhost,New,n/a,4 guests 2 bedrooms 2 beds 1.5 baths,https://www.airbnb.com/rooms/817372646924698014?adults=1&children=0&infants=0&pets=0&check_in=2023-02-05&check_out=2023-02-10&previous_page_section_name=1000
HA1916 | Sanitised-Pool View-Netflix-Wifi-Parking,Condo in Cyberjaya,RM99 ,Superhost,4.84 (37),37 reviews,4 guests Studio 1 bath,https://www.airbnb.com/rooms/51875737?adults=1&children=0&infants=0&pets=0&check_in=2023-02-03&check_out=2023-02-08&previous_page_section_name=1000
Broga Hill Holiday Home,Home in Semenyih,RM470 ,n/a,,n/a,10 guests 3 bedrooms 3 beds 2.5 baths,https://www.airbnb.com/rooms/27125515?adults=1&children=0&infants=0&pets=0&check_in=2023-02-06&check_out=2023-02-11&previous_page_section_name=1000
New!Dreamplace 3bedrooms-Comfy,Apartment in Seri Kembangan,RM130,n/a,4.33 (3),3 reviews,6 guests 3 bedrooms 4 beds 2 baths,https://www.airbnb.com/rooms/768730912146030165?adults=1&children=0&infants=0&pets=0&check_in=2023-02-03&check_out=2023-02-08&previous_page_section_name=1000
浪漫2人世界海景套房(角落)/ Romantic Seaview Studio (Corner),Apartment in Port Dickson,RM201 ,Superhost,4.89 (254),254 reviews,2 guests 1 bedroom 1 bed 1 bath,https://www.airbnb.com/rooms/22559930?adults=1&children=0&infants=0&pets=0&check_in=2023-02-06&check_out=2023-02-11&previous_page_section_name=1000
De Soul Suite-1BR-Solstice|Wi-fi|NETFLIX|PARKING,Apartment in Cyberjaya,RM134 ,n/a,4.5 (10),10 reviews,2 guests 1 bedroom 1 bed 1 bath,https://www.airbnb.com/rooms/699965210560782880?adults=1&children=0&infants=0&pets=0&check_in=2023-02-07&check_out=2023-02-13&previous_page_section_name=1000
Casa RV 8 | MKH BOULEVARD KAJANG,Apartment in Kajang,RM135 ,n/a,4.76 (29),29 reviews,2 guests 1 bedroom 1 bed 1 bath,https://www.airbnb.com/rooms/30801330?adults=1&children=0&infants=0&pets=0&check_in=2023-02-05&check_out=2023-02-11&previous_page_section_name=1000
Industrial Wood Black House With Pool & Tree House,Apartment in Kajang,RM190,Superhost,4.95 (19),19 reviews,5 guests 2 bedrooms 3 beds 1 bath,https://www.airbnb.com/rooms/693655679190712266?adults=1&children=0&infants=0&pets=0&check_in=2023-02-04&check_out=2023-02-11&previous_page_section_name=1000
"Mandara Tree Villas, Janda Baik - Family Villa",Villa in Janda Baik,RM474 ,n/a,4.47 (53),53 reviews,8 guests 2 bedrooms 5 beds 2 baths,https://www.airbnb.com/rooms/27542607?adults=1&children=0&infants=0&pets=0&check_in=2023-02-06&check_out=2023-02-11&previous_page_section_name=1000
HB1713 | 2 Bedroom Sanitised Netflix Wifi Parking,Apartment in Cyberjaya,RM108 ,Superhost,,n/a,4 guests 2 bedrooms 2 beds 1.5 baths,https://www.airbnb.com/rooms/762157179608499615?adults=1&children=0&infants=0&pets=0&check_in=2023-02-07&check_out=2023-02-12&previous_page_section_name=1000
CL137B Modern Balcony KLCC View & Infinity Pool,Apartment in Kuala Lumpur,RM88,n/a,4.67 (3),3 reviews,2 guests Studio 1 bed 1 bath,https://www.airbnb.com/rooms/795538892758661305?adults=1&children=0&infants=0&pets=0&check_in=2023-02-05&check_out=2023-02-10&previous_page_section_name=1000
PD D’Wharf Amazing Seaview Suite 9 (Up to 3 Pax),Apartment in Port Dickson,RM136 ,Superhost,4.86 (63),63 reviews,3 guests Studio 1 bed 1 bath,https://www.airbnb.com/rooms/568447085754394317?adults=1&children=0&infants=0&pets=0&check_in=2023-02-06&check_out=2023-02-11&previous_page_section_name=1000
Unique Bedroom KL @ Free wifi,Apartment in Kuala Lumpur,RM136 ,n/a,,n/a,4 guests 1 bedroom 1 bed 1 bath,https://www.airbnb.com/rooms/760361198934377976?adults=1&children=0&infants=0&pets=0&check_in=2023-02-04&check_out=2023-02-09&previous_page_section_name=1000
2BR Windmill Upon Hills Free Wifi w/ 1 Parking,Condo in Genting Highlands,RM157,n/a,4.79 (135),135 reviews,6 guests 2 bedrooms 2 beds 2 baths,https://www.airbnb.com/rooms/48713793?adults=1&children=0&infants=0&pets=0&check_in=2023-02-04&check_out=2023-02-09&previous_page_section_name=1000
Avillion Admiral Cove Airbnb Hotel Port Dickson,Hotel room in Port Dickson,RM102 ,n/a,4.52 (118),118 reviews,2 guests 1 bedroom 3 beds 1 bath,https://www.airbnb.com/rooms/21329923?adults=1&children=0&infants=0&pets=0&check_in=2023-02-08&check_out=2023-02-15&previous_page_section_name=1000
Vest Home@Midhill Genting Highlands (Free WiFi),Condo in Genting Highlands,RM337,n/a,4.79 (104),104 reviews,10 guests 3 bedrooms 4 beds 2 baths,https://www.airbnb.com/rooms/53427673?adults=1&children=0&infants=0&pets=0&check_in=2023-02-06&check_out=2023-02-12&previous_page_section_name=1000
